,Loan_Amount,Loan_Tenure_Year,Years_to_Financial_Freedom,Number_of_Credit_Card_Facility,Number_of_Properties,Number_of_Bank_Products,Years_for_Property_to_Completion,Number_of_Side_Income,Monthly_Salary,Total_Sum_of_Loan,Total_Income_for_Join_Application,Unnamed: 0,Credit_Card_Exceed_Months,Employment_Type,More_Than_One_Products,Credit_Card_types,Number_of_Dependents,Number_of_Loan_to_Approve,Property_Type,State,Score,Total_Duration,Decision
10,Low Loan Amount,22.0,5.0,2.0,2.0,1.0,10.0,1.0,Low Salary,Low Sum of Loan,Average Income for Join Application,10,1,employer,yes,normal,2,2,condominium,Johor,8,27.0,Reject
11,Average Loan Amount,10.0,13.0,2.0,2.0,2.0,10.0,1.0,Low Salary,Average Sum of Loan,Average Income for Join Application,11,1,employer,no,platinum,2,3,condominium,Johor,7,23.0,Accept
12,Low Loan Amount,23.0,5.0,2.0,2.0,1.0,10.0,1.0,Low Salary,Average Sum of Loan,Low Income for Join Application,12,1,employer,yes,normal,2,3,condominium,Johor,7,28.0,Accept
13,Average Loan Amount,24.0,5.0,2.0,2.0,1.0,10.0,2.0,Low Salary,Low Sum of Loan,Average Income for Join Application,13,1,employer,no,normal,2,3,condominium,Johor,8,29.0,Accept
14,Low Loan Amount,20.0,5.0,4.0,2.0,1.0,10.0,2.0,Average Salary,High Sum of Loan,Average Income for Join Application,14,1,employer,yes,normal,2,3,condominium,Johor,6,25.0,Reject
15,High Loan Amount,13.0,5.0,2.0,2.0,1.0,10.0,3.0,High Salary,High Sum of Loan,Average Income for Join Application,15,1,employer,no,normal,2,3,condominium,Johor,8,18.0,Accept
16,Average Loan Amount,12.0,8.0,2.0,2.0,1.0,10.0,2.0,Average Salary,Average Sum of Loan,Low Income for Join Application,16,1,employer,yes,gold,2,3,condominium,Johor,7,20.0,Reject
17,Low Loan Amount,14.0,5.0,2.0,2.0,1.0,10.0,3.0,High Salary,Low Sum of Loan,Low Income for Join Application,17,1,employer,no,normal,2,1,condominium,Johor,8,19.0,Reject
18,High Loan Amount,18.0,5.0,2.0,2.0,1.0,11.0,1.0,Low Salary,Low Sum of Loan,Average Income for Join Application,18,1,employer,yes,platinum,2,2,condominium,Johor,6,23.0,Accept
19,Low Loan Amount,12.0,5.0,2.0,2.0,1.0,12.0,2.0,High Salary,High Sum of Loan,Low Income for Join Application,19,1,employer,no,normal,2,1,condominium,Johor,9,17.0,Reject
20,Low Loan Amount,16.0,5.0,2.0,2.0,1.0,10.0,1.0,Low Salary,Average Sum of Loan,High Income for Join Application,20,1,employer,yes,gold,2,3,condominium,Johor,8,21.0,Reject
21,Average Loan Amount,23.0,5.0,2.0,2.0,1.0,10.0,3.0,High Salary,Average Sum of Loan,High Income for Join Application,21,1,employer,no,normal,2,3,condominium,Johor,6,28.0,Accept
22,Low Loan Amount,10.0,5.0,2.0,2.0,1.0,10.0,1.0,Low Salary,Average Sum of Loan,High Income for Join Application,22,1,employer,yes,normal,2,1,condominium,Johor,6,15.0,Reject
23,Average Loan Amount,15.0,5.0,3.0,2.0,2.0,10.0,1.0,High Salary,High Sum of Loan,Low Income for Join Application,23,1,employer,no,normal,2,1,condominium,Johor,6,20.0,Accept
24,Average Loan Amount,19.0,5.0,2.0,2.0,1.0,11.0,3.0,High Salary,Average Sum of Loan,Average Income for Join Application,24,1,employer,yes,normal,2,3,condominium,Johor,9,24.0,Accept
25,Average Loan Amount,11.0,5.0,2.0,2.0,1.0,10.0,2.0,Average Salary,High Sum of Loan,High Income for Join Application,25,1,employer,no,normal,2,3,condominium,Johor,8,16.0,Accept
26,Low Loan Amount,15.0,5.0,2.0,2.0,1.0,10.0,2.0,Low Salary,Low Sum of Loan,Low Income for Join Application,26,1,employer,yes,normal,2,2,condominium,Johor,7,20.0,Accept
27,Low Loan Amount,22.0,5.0,2.0,2.0,1.0,10.0,2.0,Average Salary,Average Sum of Loan,Average Income for Join Application,27,1,employer,no,platinum,2,3,condominium,Johor,9,27.0,Accept
28,High Loan Amount,18.0,15.0,2.0,2.0,1.0,10.0,2.0,High Salary,High Sum of Loan,Average Income for Join Application,28,1,employer,yes,platinum,2,1,condominium,Johor,8,33.0,Accept
29,Low Loan Amount,20.0,5.0,2.0,2.0,1.0,10.0,1.0,High Salary,Average Sum of Loan,Average Income for Join Application,29,1,employer,no,gold,2,2,condominium,Johor,7,25.0,Accept
30,Average Loan Amount,13.0,16.0,4.0,2.0,1.0,10.0,2.0,Average Salary,High Sum of Loan,Average Income for Join Application,30,1,employer,yes,gold,2,3,condominium,Johor,8,29.0,Accept
31,Low Loan Amount,18.0,5.0,2.0,2.0,1.0,10.0,2.0,Low Salary,Average Sum of Loan,Average Income for Join Application,31,1,employer,no,gold,2,1,condominium,Johor,9,23.0,Reject
32,Low Loan Amount,15.0,5.0,4.0,2.0,1.0,10.0,1.0,High Salary,High Sum of Loan,High Income for Join Application,32,1,employer,yes,normal,2,3,condominium,Johor,6,20.0,Reject
33,Average Loan Amount,18.0,5.0,2.0,2.0,1.0,10.0,2.0,High Salary,Average Sum of Loan,Average Income for Join Application,33,1,employer,no,normal,2,1,condominium,Johor,7,23.0,Accept
34,Average Loan Amount,14.0,5.0,2.0,2.0,1.0,10.0,1.0,Low Salary,Low Sum of Loan,Average Income for Join Application,34,1,employer,yes,normal,2,1,condominium,Johor,6,19.0,Reject
35,Average Loan Amount,24.0,15.0,2.0,2.0,1.0,10.0,1.0,Low Salary,Low Sum of Loan,High Income for Join Application,35,1,employer,no,normal,2,1,condominium,Johor,8,39.0,Accept
36,Average Loan Amount,18.0,5.0,2.0,2.0,1.0,10.0,2.0,High Salary,Low Sum of Loan,High Income for Join Application,36,1,employer,yes,normal,2,1,condominium,Johor,7,23.0,Reject
37,Average Loan Amount,11.0,5.0,2.0,2.0,1.0,10.0,2.0,Low Salary,Low Sum of Loan,Low Income for Join Application,37,1,employer,no,gold,2,1,condominium,Johor,6,16.0,Accept
38,Average Loan Amount,22.0,5.0,2.0,2.0,1.0,10.0,1.0,Average Salary,High Sum of Loan,High Income for Join Application,38,1,employer,yes,normal,2,2,condominium,Johor,7,27.0,Reject
39,Average Loan Amount,19.0,5.0,2.0,2.0,1.0,10.0,1.0,Average Salary,Low Sum of Loan,High Income for Join Application,39,1,employer,no,normal,2,2,condominium,Johor,9,24.0,Accept
40,Low Loan Amount,18.0,5.0,2.0,2.0,1.0,10.0,2.0,Average Salary,High Sum of Loan,Average Income for Join Application,40,1,employer,yes,normal,2,1,condominium,Johor,7,23.0,Accept
41,Low Loan Amount,14.0,5.0,2.0,2.0,1.0,10.0,1.0,Average Salary,Average Sum of Loan,Average Income for Join Application,41,1,employer,no,gold,2,2,condominium,Johor,7,19.0,Reject
42,Low Loan Amount,10.0,5.0,2.0,2.0,1.0,10.0,2.0,High Salary,Average Sum of Loan,Low Income for Join Application,42,1,employer,yes,normal,2,1,condominium,Johor,6,15.0,Accept
43,Average Loan Amount,18.0,6.0,2.0,2.0,1.0,10.0,3.0,High Salary,Low Sum of Loan,Low Income for Join Application,43,1,employer,no,gold,2,2,condominium,Johor,6,24.0,Accept
44,Average Loan Amount,20.0,5.0,2.0,2.0,2.0,10.0,1.0,High Salary,High Sum of Loan,Low Income for Join Application,44,1,employer,yes,gold,2,1,condominium,Johor,6,25.0,Reject
45,Low Loan Amount,15.0,5.0,2.0,2.0,1.0,10.0,2.0,Average Salary,Low Sum of Loan,High Income for Join Application,45,1,employer,no,platinum,2,3,condominium,Johor,7,20.0,Accept
46,Low Loan Amount,14.0,15.0,2.0,2.0,2.0,10.0,1.0,Average Salary,Low Sum of Loan,Average Income for Join Application,46,1,employer,yes,normal,2,1,condominium,Johor,6,29.0,Reject
47,High Loan Amount,13.0,5.0,4.0,2.0,1.0,10.0,2.0,Average Salary,High Sum of Loan,Low Income for Join Application,47,1,employer,no,normal,2,2,condominium,Johor,9,18.0,Accept
48,Low Loan Amount,14.0,5.0,2.0,2.0,1.0,10.0,3.0,Average Salary,Low Sum of Loan,Average Income for Join Application,48,1,employer,yes,gold,2,1,condominium,Johor,9,19.0,Accept
49,High Loan Amount,20.0,5.0,2.0,2.0,1.0,10.0,1.0,Low Salary,Average Sum of Loan,Average Income for Join Application,49,1,employer,no,normal,2,2,condominium,Johor,6,25.0,Accept
50,High Loan Amount,17.0,5.0,4.0,2.0,1.0,10.0,2.0,Low Salary,Low Sum of Loan,Low Income for Join Application,50,1,employer,yes,normal,2,1,condominium,Johor,7,22.0,Accept
51,Average Loan Amount,17.0,5.0,2.0,2.0,2.0,10.0,3.0,Average Salary,High Sum of Loan,Low Income for Join Application,51,1,employer,no,normal,2,3,condominium,Johor,7,22.0,Accept
52,Average Loan Amount,20.0,14.0,2.0,2.0,1.0,10.0,2.0,Average Salary,Average Sum of Loan,Average Income for Join Application,52,1,employer,yes,normal,2,1,condominium,Johor,7,34.0,Accept
53,Average Loan Amount,22.0,5.0,2.0,2.0,1.0,10.0,3.0,Average Salary,High Sum of Loan,Average Income for Join Application,53,1,employer,no,normal,2,2,condominium,Johor,6,27.0,Accept
54,Low Loan Amount,11.0,5.0,2.0,2.0,1.0,10.0,3.0,Average Salary,High Sum of Loan,Low Income for Join Application,54,1,employer,yes,normal,2,2,condominium,Johor,9,16.0,Accept
55,High Loan Amount,18.0,15.0,2.0,2.0,1.0,10.0,2.0,Average Salary,High Sum of Loan,Average Income for Join Application,55,1,employer,no,normal,2,2,condominium,Johor,9,33.0,Reject
56,Average Loan Amount,23.0,5.0,2.0,2.0,1.0,10.0,3.0,High Salary,High Sum of Loan,High Income for Join Application,56,1,employer,yes,normal,2,1,condominium,Johor,6,28.0,Accept
57,Average Loan Amount,21.0,5.0,3.0,2.0,1.0,10.0,1.0,Average Salary,High Sum of Loan,Average Income for Join Application,57,1,employer,no,normal,2,3,condominium,Johor,8,26.0,Accept
58,Low Loan Amount,19.0,5.0,2.0,2.0,1.0,10.0,1.0,Average Salary,High Sum of Loan,Average Income for Join Application,58,1,employer,yes,normal,2,3,condominium,Johor,9,24.0,Accept
59,High Loan Amount,23.0,5.0,2.0,2.0,1.0,10.0,1.0,Low Salary,Low Sum of Loan,Average Income for Join Application,59,1,employer,no,gold,2,2,condominium,Johor,9,28.0,Reject
60,Average Loan Amount,24.0,5.0,2.0,2.0,1.0,10.0,1.0,Average Salary,High Sum of Loan,Average Income for Join Application,60,1,employer,yes,normal,2,2,condominium,Johor,7,29.0,Accept
61,Average Loan Amount,21.0,5.0,2.0,2.0,1.0,10.0,2.0,Average Salary,Low Sum of Loan,Average Income for Join Application,61,1,employer,no,gold,2,3,condominium,Johor,6,26.0,Accept
62,Low Loan Amount,20.0,13.0,2.0,2.0,1.0,10.0,1.0,Low Salary,Average Sum of Loan,Average Income for Join Application,62,1,employer,yes,normal,2,1,condominium,Johor,7,33.0,Reject
63,Low Loan Amount,19.0,15.0,2.0,2.0,2.0,10.0,2.0,Average Salary,Low Sum of Loan,Average Income for Join Application,63,1,employer,no,gold,2,2,condominium,Johor,8,34.0,Reject
64,Low Loan Amount,16.0,5.0,2.0,2.0,1.0,10.0,1.0,Low Salary,Low Sum of Loan,High Income for Join Application,64,1,employer,yes,normal,2,3,condominium,Johor,9,21.0,Accept
65,Low Loan Amount,15.0,5.0,2.0,2.0,1.0,10.0,2.0,Average Salary,Average Sum of Loan,High Income for Join Application,65,1,employer,no,normal,2,3,condominium,Johor,6,20.0,Accept
66,High Loan Amount,13.0,15.0,2.0,2.0,1.0,12.0,2.0,High Salary,Average Sum of Loan,Average Income for Join Application,66,1,employer,yes,normal,2,2,condominium,Johor,7,28.0,Accept
67,High Loan Amount,24.0,5.0,4.0,2.0,1.0,10.0,2.0,High Salary,Average Sum of Loan,Average Income for Join Application,67,1,employer,no,normal,2,1,condominium,Johor,9,29.0,Accept
68,High Loan Amount,22.0,5.0,2.0,2.0,2.0,10.0,1.0,Low Salary,Average Sum of Loan,Average Income for Join Application,68,1,employer,yes,gold,2,2,condominium,Johor,9,27.0,Reject
69,Low Loan Amount,22.0,12.0,4.0,2.0,1.0,10.0,2.0,High Salary,Average Sum of Loan,Average Income for Join Application,69,1,employer,no,normal,2,3,condominium,Johor,9,34.0,Reject
70,Low Loan Amount,21.0,10.0,2.0,2.0,1.0,10.0,2.0,Average Salary,High Sum of Loan,High Income for Join Application,70,1,employer,yes,normal,2,1,condominium,Johor,7,31.0,Accept
71,Average Loan Amount,11.0,5.0,2.0,2.0,1.0,10.0,2.0,Low Salary,Average Sum of Loan,High Income for Join Application,71,1,employer,no,platinum,2,3,condominium,Johor,7,16.0,Accept
72,Average Loan Amount,13.0,5.0,2.0,2.0,1.0,10.0,2.0,Average Salary,Average Sum of Loan,Average Income for Join Application,72,1,employer,yes,gold,2,1,condominium,Johor,8,18.0,Accept
73,Average Loan Amount,11.0,5.0,4.0,2.0,1.0,10.0,2.0,Average Salary,High Sum of Loan,Average Income for Join Application,73,1,employer,no,normal,2,2,condominium,Johor,7,16.0,Accept
74,Average Loan Amount,16.0,5.0,2.0,2.0,1.0,10.0,1.0,Low Salary,Low Sum of Loan,Average Income for Join Application,74,1,employer,yes,gold,2,3,condominium,Johor,9,21.0,Accept
75,Average Loan Amount,15.0,15.0,3.0,2.0,1.0,10.0,2.0,High Salary,High Sum of Loan,Low Income for Join Application,75,1,employer,no,gold,2,2,condominium,Johor,8,30.0,Accept
76,High Loan Amount,20.0,15.0,2.0,2.0,3.0,10.0,1.0,Low Salary,High Sum of Loan,Average Income for Join Application,76,1,employer,yes,gold,2,3,condominium,Johor,8,35.0,Reject
77,High Loan Amount,18.0,5.0,4.0,2.0,2.0,10.0,2.0,Low Salary,High Sum of Loan,High Income for Join Application,77,1,employer,no,normal,2,2,condominium,Johor,7,23.0,Accept
78,Low Loan Amount,18.0,15.0,3.0,2.0,2.0,10.0,3.0,Low Salary,Average Sum of Loan,High Income for Join Application,78,1,employer,yes,gold,2,1,condominium,Johor,8,33.0,Accept
79,Average Loan Amount,11.0,5.0,4.0,2.0,1.0,10.0,2.0,Average Salary,Low Sum of Loan,Low Income for Join Application,79,1,employer,no,normal,2,2,condominium,Johor,6,16.0,Accept
80,High Loan Amount,24.0,5.0,2.0,2.0,2.0,10.0,1.0,Low Salary,Low Sum of Loan,High Income for Join Application,80,1,employer,yes,normal,2,1,condominium,Johor,9,29.0,Accept
81,Low Loan Amount,23.0,5.0,4.0,2.0,1.0,10.0,1.0,Average Salary,Average Sum of Loan,Average Income for Join Application,81,1,employer,no,gold,2,2,condominium,Johor,9,28.0,Accept
82,Average Loan Amount,21.0,5.0,2.0,2.0,1.0,10.0,1.0,High Salary,Average Sum of Loan,Low Income for Join Application,82,1,employer,yes,normal,2,3,condominium,Johor,9,26.0,Accept
83,Average Loan Amount,16.0,8.0,2.0,2.0,1.0,10.0,2.0,Average Salary,High Sum of Loan,Low Income for Join Application,83,1,employer,no,platinum,2,2,condominium,Johor,7,24.0,Accept
84,Average Loan Amount,20.0,5.0,2.0,2.0,1.0,10.0,3.0,Average Salary,Low Sum of Loan,High Income for Join Application,84,1,employer,yes,gold,2,3,condominium,Johor,7,25.0,Accept
85,Low Loan Amount,19.0,5.0,2.0,2.0,1.0,10.0,3.0,Average Salary,Average Sum of Loan,Average Income for Join Application,85,1,employer,no,normal,2,2,condominium,Johor,7,24.0,Accept
86,High Loan Amount,17.0,5.0,2.0,2.0,1.0,10.0,2.0,Low Salary,Low Sum of Loan,Average Income for Join Application,86,1,employer,yes,normal,2,2,condominium,Johor,6,22.0,Accept
87,Low Loan Amount,10.0,14.0,2.0,2.0,2.0,10.0,2.0,Average Salary,High Sum of Loan,Low Income for Join Application,87,1,employer,no,normal,2,2,condominium,Johor,6,24.0,Accept
88,Average Loan Amount,10.0,5.0,2.0,2.0,2.0,10.0,3.0,Average Salary,High Sum of Loan,Low Income for Join Application,88,1,employer,yes,gold,2,1,condominium,Johor,9,15.0,Accept
89,Low Loan Amount,15.0,13.0,4.0,2.0,1.0,10.0,1.0,Average Salary,Low Sum of Loan,Average Income for Join Application,89,1,employer,no,normal,2,3,condominium,Johor,6,28.0,Reject
90,Average Loan Amount,16.0,5.0,4.0,2.0,3.0,10.0,3.0,Average Salary,High Sum of Loan,Average Income for Join Application,90,1,employer,yes,normal,2,2,condominium,Johor,6,21.0,Accept
91,Average Loan Amount,16.0,16.0,2.0,2.0,1.0,10.0,3.0,Average Salary,High Sum of Loan,Average Income for Join Application,91,1,employer,no,normal,2,2,condominium,Johor,8,32.0,Accept
92,High Loan Amount,16.0,5.0,2.0,2.0,1.0,10.0,3.0,Average Salary,Low Sum of Loan,Average Income for Join Application,92,1,employer,yes,normal,2,2,condominium,Johor,9,21.0,Reject
93,Low Loan Amount,16.0,13.0,4.0,2.0,1.0,10.0,1.0,Average Salary,Low Sum of Loan,Average Income for Join Application,93,1,employer,no,gold,2,2,condominium,Johor,8,29.0,Accept
94,Average Loan Amount,18.0,15.0,3.0,2.0,1.0,10.0,1.0,Low Salary,Average Sum of Loan,High Income for Join Application,94,1,employer,yes,gold,2,2,condominium,Johor,6,33.0,Reject
95,Average Loan Amount,15.0,5.0,2.0,2.0,1.0,10.0,2.0,Average Salary,High Sum of Loan,High Income for Join Application,95,1,employer,no,normal,2,2,condominium,Johor,7,20.0,Reject
96,High Loan Amount,17.0,5.0,2.0,2.0,2.0,11.0,2.0,High Salary,Low Sum of Loan,Low Income for Join Application,96,1,employer,yes,normal,2,3,condominium,Johor,6,22.0,Reject
97,Low Loan Amount,22.0,5.0,2.0,2.0,1.0,10.0,2.0,High Salary,Average Sum of Loan,Average Income for Join Application,97,1,employer,no,normal,2,1,condominium,Johor,9,27.0,Reject
98,Average Loan Amount,15.0,5.0,2.0,2.0,1.0,10.0,2.0,High Salary,Low Sum of Loan,Low Income for Join Application,98,1,employer,yes,gold,2,2,condominium,Johor,7,20.0,Reject
99,Average Loan Amount,19.0,11.0,2.0,2.0,1.0,10.0,3.0,High Salary,Low Sum of Loan,Low Income for Join Application,99,1,employer,no,normal,2,3,condominium,Johor,9,30.0,Accept
100,High Loan Amount,18.0,6.0,2.0,2.0,1.0,10.0,2.0,Average Salary,High Sum of Loan,Low Income for Join Application,100,6,employer,yes,gold,2,3,condominium,Johor,9,24.0,Accept
101,High Loan Amount,17.0,6.0,2.0,2.0,1.0,10.0,1.0,Average Salary,Average Sum of Loan,High Income for Join Application,101,6,employer,no,normal,2,1,condominium,Johor,8,23.0,Accept
102,Average Loan Amount,11.0,14.0,2.0,3.0,1.0,10.0,2.0,High Salary,Low Sum of Loan,Low Income for Join Application,102,6,employer,yes,gold,2,3,condominium,Johor,8,25.0,Accept
103,Average Loan Amount,18.0,6.0,2.0,2.0,1.0,11.0,3.0,Low Salary,Low Sum of Loan,Average Income for Join Application,103,6,employer,no,gold,2,3,condominium,Johor,8,24.0,Accept
104,High Loan Amount,13.0,6.0,2.0,2.0,1.0,12.0,2.0,Average Salary,High Sum of Loan,High Income for Join Application,104,6,employer,yes,normal,2,3,condominium,Johor,8,19.0,Accept
105,Average Loan Amount,22.0,6.0,2.0,2.0,1.0,10.0,3.0,Average Salary,Low Sum of Loan,Average Income for Join Application,105,6,employer,no,normal,2,2,condominium,Johor,7,28.0,Reject
106,Average Loan Amount,20.0,6.0,2.0,2.0,1.0,10.0,1.0,High Salary,Average Sum of Loan,High Income for Join Application,106,6,employer,yes,normal,2,3,condominium,Johor,8,26.0,Accept
107,High Loan Amount,13.0,6.0,2.0,2.0,1.0,10.0,2.0,Average Salary,High Sum of Loan,Low Income for Join Application,107,6,employer,no,gold,2,2,condominium,Johor,6,19.0,Accept
108,Low Loan Amount,12.0,6.0,2.0,2.0,2.0,10.0,2.0,High Salary,High Sum of Loan,Average Income for Join Application,108,6,employer,yes,gold,2,3,condominium,Johor,8,18.0,Reject
109,Average Loan Amount,22.0,6.0,2.0,2.0,1.0,10.0,2.0,High Salary,High Sum of Loan,Low Income for Join Application,109,6,employer,no,gold,2,1,condominium,Johor,9,28.0,Accept
110,Average Loan Amount,10.0,6.0,2.0,2.0,1.0,10.0,2.0,Low Salary,Average Sum of Loan,Low Income for Join Application,110,6,employer,yes,normal,2,3,condominium,Johor,9,16.0,Accept
111,Low Loan Amount,15.0,6.0,2.0,2.0,1.0,10.0,2.0,Average Salary,Low Sum of Loan,Low Income for Join Application,111,6,employer,no,normal,2,2,condominium,Johor,7,21.0,Accept
112,Average Loan Amount,17.0,10.0,2.0,2.0,1.0,10.0,1.0,Low Salary,Average Sum of Loan,High Income for Join Application,112,6,employer,yes,normal,2,1,condominium,Johor,8,27.0,Reject
113,Average Loan Amount,17.0,6.0,4.0,2.0,1.0,11.0,1.0,Average Salary,Low Sum of Loan,Average Income for Join Application,113,6,employer,no,platinum,2,3,condominium,Johor,9,23.0,Accept
114,High Loan Amount,12.0,6.0,3.0,2.0,1.0,10.0,1.0,Average Salary,Average Sum of Loan,High Income for Join Application,114,6,employer,yes,gold,2,2,condominium,Johor,7,18.0,Accept
115,Low Loan Amount,20.0,6.0,4.0,2.0,1.0,10.0,3.0,Average Salary,Average Sum of Loan,Average Income for Join Application,115,6,employer,no,normal,2,2,condominium,Johor,6,26.0,Accept
116,Average Loan Amount,18.0,6.0,2.0,2.0,1.0,10.0,2.0,High Salary,Average Sum of Loan,Low Income for Join Application,116,6,employer,yes,normal,2,1,condominium,Johor,8,24.0,Reject
117,High Loan Amount,14.0,6.0,4.0,2.0,2.0,10.0,2.0,Average Salary,Average Sum of Loan,High Income for Join Application,117,6,employer,no,gold,2,1,condominium,Johor,9,20.0,Accept
118,High Loan Amount,16.0,17.0,2.0,2.0,1.0,10.0,1.0,Low Salary,Average Sum of Loan,Low Income for Join Application,118,6,employer,yes,normal,2,1,condominium,Johor,8,33.0,Reject
119,Average Loan Amount,15.0,6.0,2.0,2.0,1.0,10.0,1.0,Low Salary,Low Sum of Loan,High Income for Join Application,119,6,employer,no,normal,2,3,condominium,Johor,7,21.0,Accept
120,High Loan Amount,10.0,16.0,4.0,2.0,1.0,10.0,1.0,Average Salary,Low Sum of Loan,Average Income for Join Application,120,6,employer,yes,normal,2,3,condominium,Johor,7,26.0,Accept
121,Low Loan Amount,22.0,12.0,4.0,2.0,1.0,10.0,2.0,High Salary,High Sum of Loan,Average Income for Join Application,121,6,employer,no,normal,2,3,condominium,Johor,9,34.0,Accept
122,High Loan Amount,20.0,6.0,2.0,2.0,1.0,11.0,3.0,Average Salary,Average Sum of Loan,Low Income for Join Application,122,6,employer,yes,normal,2,2,condominium,Johor,8,26.0,Accept
123,Average Loan Amount,18.0,15.0,2.0,2.0,1.0,10.0,1.0,Low Salary,Low Sum of Loan,Average Income for Join Application,123,6,employer,no,normal,2,2,condominium,Johor,9,33.0,Accept
124,Average Loan Amount,22.0,6.0,2.0,2.0,1.0,10.0,2.0,High Salary,Average Sum of Loan,Low Income for Join Application,124,6,employer,yes,normal,2,3,condominium,Johor,6,28.0,Accept
125,Low Loan Amount,16.0,6.0,2.0,2.0,1.0,12.0,2.0,Average Salary,Low Sum of Loan,High Income for Join Application,125,6,employer,no,normal,2,1,condominium,Johor,7,22.0,Reject
126,Low Loan Amount,20.0,6.0,2.0,2.0,1.0,10.0,1.0,Average Salary,Low Sum of Loan,Average Income for Join Application,126,6,employer,yes,normal,2,1,condominium,Johor,7,26.0,Accept
127,Average Loan Amount,17.0,6.0,2.0,2.0,1.0,10.0,2.0,Low Salary,Average Sum of Loan,Average Income for Join Application,127,6,employer,no,platinum,2,2,condominium,Johor,8,23.0,Reject
128,Low Loan Amount,20.0,14.0,2.0,2.0,1.0,10.0,1.0,Average Salary,High Sum of Loan,Average Income for Join Application,128,6,employer,yes,gold,2,1,condominium,Johor,9,34.0,Accept
129,High Loan Amount,14.0,6.0,2.0,2.0,1.0,10.0,2.0,Low Salary,High Sum of Loan,Low Income for Join Application,129,6,employer,no,gold,2,3,condominium,Johor,6,20.0,Accept
130,Average Loan Amount,17.0,6.0,4.0,2.0,1.0,10.0,3.0,High Salary,Average Sum of Loan,Average Income for Join Application,130,6,employer,yes,normal,2,1,condominium,Johor,7,23.0,Accept
131,Average Loan Amount,23.0,6.0,2.0,2.0,1.0,10.0,3.0,Low Salary,Low Sum of Loan,Low Income for Join Application,131,6,employer,no,normal,2,1,condominium,Johor,8,29.0,Reject
132,Average Loan Amount,17.0,6.0,2.0,2.0,1.0,10.0,1.0,Low Salary,High Sum of Loan,Low Income for Join Application,132,6,employer,yes,normal,2,2,condominium,Johor,7,23.0,Accept
133,Average Loan Amount,20.0,6.0,4.0,2.0,1.0,10.0,3.0,Low Salary,Average Sum of Loan,Average Income for Join Application,133,6,employer,no,platinum,2,2,condominium,Johor,7,26.0,Accept
134,High Loan Amount,17.0,6.0,2.0,2.0,1.0,10.0,2.0,Average Salary,High Sum of Loan,Low Income for Join Application,134,6,employer,yes,normal,2,3,condominium,Johor,8,23.0,Accept
135,High Loan Amount,16.0,17.0,2.0,2.0,1.0,10.0,2.0,High Salary,Low Sum of Loan,Low Income for Join Application,135,6,employer,no,normal,2,2,condominium,Johor,7,33.0,Accept
136,Average Loan Amount,15.0,12.0,2.0,2.0,1.0,11.0,3.0,Average Salary,High Sum of Loan,Low Income for Join Application,136,6,employer,yes,normal,2,3,condominium,Johor,8,27.0,Accept
