,Loan_Amount,Loan_Tenure_Year,Years_to_Financial_Freedom,Number_of_Credit_Card_Facility,Number_of_Properties,Number_of_Bank_Products,Years_for_Property_to_Completion,Number_of_Side_Income,Monthly_Salary,Total_Sum_of_Loan,Total_Income_for_Join_Application,Unnamed: 0,Credit_Card_Exceed_Months,Employment_Type,More_Than_One_Products,Credit_Card_types,Number_of_Dependents,Number_of_Loan_to_Approve,Property_Type,State,Decision,Score,Total_Duration
43,396011.0,18.0,6.0,2.0,2.0,1.0,10.0,3.0,9653.0,439917.0,10707.0,43,1,employer,no,gold,2,2,condominium,Johor,Accept,6,24.0
44,565418.0,20.0,5.0,2.0,2.0,2.0,10.0,1.0,10723.0,1179235.0,9137.0,44,1,employer,yes,gold,2,1,condominium,Johor,Reject,6,25.0
45,220915.0,15.0,5.0,2.0,2.0,1.0,10.0,2.0,7816.0,598722.0,18803.0,45,1,employer,no,platinum,2,3,condominium,Johor,Accept,7,20.0
46,238990.0,14.0,15.0,2.0,2.0,2.0,10.0,1.0,7616.0,657335.0,12506.0,46,1,employer,yes,normal,2,1,condominium,Johor,Reject,6,29.0
47,763798.0,13.0,5.0,4.0,2.0,1.0,10.0,2.0,7968.0,1438566.0,11513.0,47,1,employer,no,normal,2,2,condominium,Johor,Accept,9,18.0
48,155112.0,14.0,5.0,2.0,2.0,1.0,10.0,3.0,6821.0,761083.0,13194.0,48,1,employer,yes,gold,2,1,condominium,Johor,Accept,9,19.0
49,623271.0,20.0,5.0,2.0,2.0,1.0,10.0,1.0,5697.0,794586.0,15483.0,49,1,employer,no,normal,2,2,condominium,Johor,Accept,6,25.0
50,732986.0,17.0,5.0,4.0,2.0,1.0,10.0,2.0,5680.0,499844.0,10774.0,50,1,employer,yes,normal,2,1,condominium,Johor,Accept,7,22.0
51,475541.0,17.0,5.0,2.0,2.0,2.0,10.0,3.0,8893.0,1394458.0,8679.0,51,1,employer,no,normal,2,3,condominium,Johor,Accept,7,22.0
52,364495.0,20.0,14.0,2.0,2.0,1.0,10.0,2.0,6800.0,884635.0,15278.0,52,1,employer,yes,normal,2,1,condominium,Johor,Accept,7,34.0
53,497623.0,22.0,5.0,2.0,2.0,1.0,10.0,3.0,9118.0,1254034.0,14645.0,53,1,employer,no,normal,2,2,condominium,Johor,Accept,6,27.0
54,329944.0,11.0,5.0,2.0,2.0,1.0,10.0,3.0,8482.0,1220164.0,11040.0,54,1,employer,yes,normal,2,2,condominium,Johor,Accept,9,16.0
55,783763.0,18.0,15.0,2.0,2.0,1.0,10.0,2.0,6819.0,1122740.0,11934.0,55,1,employer,no,normal,2,2,condominium,Johor,Reject,9,33.0
56,423875.0,23.0,5.0,2.0,2.0,1.0,10.0,3.0,11763.0,1423797.0,17178.0,56,1,employer,yes,normal,2,1,condominium,Johor,Accept,6,28.0
57,417766.0,21.0,5.0,3.0,2.0,1.0,10.0,1.0,7925.0,1372361.0,13920.0,57,1,employer,no,normal,2,3,condominium,Johor,Accept,8,26.0
58,236410.0,19.0,5.0,2.0,2.0,1.0,10.0,1.0,8175.0,1194440.0,13049.0,58,1,employer,yes,normal,2,3,condominium,Johor,Accept,9,24.0
59,659582.0,23.0,5.0,2.0,2.0,1.0,10.0,1.0,6153.0,662544.0,12175.0,59,1,employer,no,gold,2,2,condominium,Johor,Reject,9,28.0
60,538796.0,24.0,5.0,2.0,2.0,1.0,10.0,1.0,6693.0,1381890.0,13067.0,60,1,employer,yes,normal,2,2,condominium,Johor,Accept,7,29.0
61,354771.0,21.0,5.0,2.0,2.0,1.0,10.0,2.0,8337.0,673952.0,13691.0,61,1,employer,no,gold,2,3,condominium,Johor,Accept,6,26.0
62,177790.0,20.0,13.0,2.0,2.0,1.0,10.0,1.0,6558.0,1100588.0,15278.0,62,1,employer,yes,normal,2,1,condominium,Johor,Reject,7,33.0
63,307187.0,19.0,15.0,2.0,2.0,2.0,10.0,2.0,7674.0,659895.0,15278.0,63,1,employer,no,gold,2,2,condominium,Johor,Reject,8,34.0
64,141575.0,16.0,5.0,2.0,2.0,1.0,10.0,1.0,6064.0,525593.0,16949.0,64,1,employer,yes,normal,2,3,condominium,Johor,Accept,9,21.0
65,246337.0,15.0,5.0,2.0,2.0,1.0,10.0,2.0,7652.0,909020.0,16142.0,65,1,employer,no,normal,2,3,condominium,Johor,Accept,6,20.0
66,598378.0,13.0,15.0,2.0,2.0,1.0,12.0,2.0,11778.0,980732.0,15020.0,66,1,employer,yes,normal,2,2,condominium,Johor,Accept,7,28.0
67,695823.0,24.0,5.0,4.0,2.0,1.0,10.0,2.0,9805.0,1001510.0,14525.0,67,1,employer,no,normal,2,1,condominium,Johor,Accept,9,29.0
68,686314.0,22.0,5.0,2.0,2.0,2.0,10.0,1.0,6394.0,783852.0,14007.0,68,1,employer,yes,gold,2,2,condominium,Johor,Reject,9,27.0
69,239044.0,22.0,12.0,4.0,2.0,1.0,10.0,2.0,9805.0,1089965.0,11775.0,69,1,employer,no,normal,2,3,condominium,Johor,Reject,9,34.0
70,141133.0,21.0,10.0,2.0,2.0,1.0,10.0,2.0,9417.0,1233187.0,16077.0,70,1,employer,yes,normal,2,1,condominium,Johor,Accept,7,31.0
71,402533.0,11.0,5.0,2.0,2.0,1.0,10.0,2.0,5732.0,1052671.0,17361.0,71,1,employer,no,platinum,2,3,condominium,Johor,Accept,7,16.0
72,423875.0,13.0,5.0,2.0,2.0,1.0,10.0,2.0,8204.0,911230.0,13055.0,72,1,employer,yes,gold,2,1,condominium,Johor,Accept,8,18.0
73,557110.0,11.0,5.0,4.0,2.0,1.0,10.0,2.0,9023.0,1236324.0,14788.0,73,1,employer,no,normal,2,2,condominium,Johor,Accept,7,16.0
74,423875.0,16.0,5.0,2.0,2.0,1.0,10.0,1.0,4753.0,556824.0,15715.0,74,1,employer,yes,gold,2,3,condominium,Johor,Accept,9,21.0
75,475184.0,15.0,15.0,3.0,2.0,1.0,10.0,2.0,10244.0,1429656.0,10203.0,75,1,employer,no,gold,2,2,condominium,Johor,Accept,8,30.0
76,713740.0,20.0,15.0,2.0,2.0,3.0,10.0,1.0,3590.0,1270226.0,14475.0,76,1,employer,yes,gold,2,3,condominium,Johor,Reject,8,35.0
77,777663.0,18.0,5.0,4.0,2.0,2.0,10.0,2.0,4480.0,1370283.0,16619.0,77,1,employer,no,normal,2,2,condominium,Johor,Accept,7,23.0
78,197664.0,18.0,15.0,3.0,2.0,2.0,10.0,3.0,4464.0,800328.0,16201.0,78,1,employer,yes,gold,2,1,condominium,Johor,Accept,8,33.0
79,505385.0,11.0,5.0,4.0,2.0,1.0,10.0,2.0,8444.0,690450.0,8474.0,79,1,employer,no,normal,2,2,condominium,Johor,Accept,6,16.0
80,685977.0,24.0,5.0,2.0,2.0,2.0,10.0,1.0,5029.0,436358.0,17934.0,80,1,employer,yes,normal,2,1,condominium,Johor,Accept,9,29.0
81,317361.0,23.0,5.0,4.0,2.0,1.0,10.0,1.0,8807.0,900288.0,12263.0,81,1,employer,no,gold,2,2,condominium,Johor,Accept,9,28.0
82,461385.0,21.0,5.0,2.0,2.0,1.0,10.0,1.0,11639.0,884482.0,9536.0,82,1,employer,yes,normal,2,3,condominium,Johor,Accept,9,26.0
83,414236.0,16.0,8.0,2.0,2.0,1.0,10.0,2.0,8368.0,1366202.0,10966.0,83,1,employer,no,platinum,2,2,condominium,Johor,Accept,7,24.0
84,522489.0,20.0,5.0,2.0,2.0,1.0,10.0,3.0,8157.0,591823.0,17945.0,84,1,employer,yes,gold,2,3,condominium,Johor,Accept,7,25.0
85,137116.0,19.0,5.0,2.0,2.0,1.0,10.0,3.0,7410.0,791198.0,12852.0,85,1,employer,no,normal,2,2,condominium,Johor,Accept,7,24.0
86,640133.0,17.0,5.0,2.0,2.0,1.0,10.0,2.0,3600.0,685876.0,12713.0,86,1,employer,yes,normal,2,2,condominium,Johor,Accept,6,22.0
87,169182.0,10.0,14.0,2.0,2.0,2.0,10.0,2.0,9463.0,1223803.0,11499.0,87,1,employer,no,normal,2,2,condominium,Johor,Accept,6,24.0
88,352362.0,10.0,5.0,2.0,2.0,2.0,10.0,3.0,8973.0,1336122.0,9567.0,88,1,employer,yes,gold,2,1,condominium,Johor,Accept,9,15.0
89,127205.0,15.0,13.0,4.0,2.0,1.0,10.0,1.0,8342.0,464657.0,13331.0,89,1,employer,no,normal,2,3,condominium,Johor,Reject,6,28.0
90,409535.0,16.0,5.0,4.0,2.0,3.0,10.0,3.0,8118.0,1256233.0,12918.0,90,1,employer,yes,normal,2,2,condominium,Johor,Accept,6,21.0
91,534178.0,16.0,16.0,2.0,2.0,1.0,10.0,3.0,6855.0,1199910.0,12604.0,91,1,employer,no,normal,2,2,condominium,Johor,Accept,8,32.0
92,652696.0,16.0,5.0,2.0,2.0,1.0,10.0,3.0,6643.0,680814.0,12697.0,92,1,employer,yes,normal,2,2,condominium,Johor,Reject,9,21.0
93,226900.0,16.0,13.0,4.0,2.0,1.0,10.0,1.0,7248.0,679777.0,15057.0,93,1,employer,no,gold,2,2,condominium,Johor,Accept,8,29.0
94,452995.0,18.0,15.0,3.0,2.0,1.0,10.0,1.0,3688.0,840438.0,16100.0,94,1,employer,yes,gold,2,2,condominium,Johor,Reject,6,33.0
95,423875.0,15.0,5.0,2.0,2.0,1.0,10.0,2.0,8622.0,1288713.0,19859.0,95,1,employer,no,normal,2,2,condominium,Johor,Reject,7,20.0
96,638121.0,17.0,5.0,2.0,2.0,2.0,11.0,2.0,11726.0,545646.0,7809.0,96,1,employer,yes,normal,2,3,condominium,Johor,Reject,6,22.0
97,247875.0,22.0,5.0,2.0,2.0,1.0,10.0,2.0,12519.0,851018.0,15770.0,97,1,employer,no,normal,2,1,condominium,Johor,Reject,9,27.0
98,448361.0,15.0,5.0,2.0,2.0,1.0,10.0,2.0,10476.0,600309.0,10001.0,98,1,employer,yes,gold,2,2,condominium,Johor,Reject,7,20.0
99,384108.0,19.0,11.0,2.0,2.0,1.0,10.0,3.0,11799.0,526880.0,9338.0,99,1,employer,no,normal,2,3,condominium,Johor,Accept,9,30.0
100,696830.0,18.0,6.0,2.0,2.0,1.0,10.0,2.0,8848.0,1395602.0,9790.0,100,6,employer,yes,gold,2,3,condominium,Johor,Accept,9,24.0
101,589976.0,17.0,6.0,2.0,2.0,1.0,10.0,1.0,8281.0,806983.0,18287.0,101,6,employer,no,normal,2,1,condominium,Johor,Accept,8,23.0
102,551583.0,11.0,14.0,2.0,3.0,1.0,10.0,2.0,10383.0,562038.0,11499.0,102,6,employer,yes,gold,2,3,condominium,Johor,Accept,8,25.0
103,517695.0,18.0,6.0,2.0,2.0,1.0,11.0,3.0,5428.0,546043.0,13049.0,103,6,employer,no,gold,2,3,condominium,Johor,Accept,8,24.0
104,614039.0,13.0,6.0,2.0,2.0,1.0,12.0,2.0,6684.0,1215501.0,17239.0,104,6,employer,yes,normal,2,3,condominium,Johor,Accept,8,19.0
105,529936.0,22.0,6.0,2.0,2.0,1.0,10.0,3.0,7175.0,750247.0,14007.0,105,6,employer,no,normal,2,2,condominium,Johor,Reject,7,28.0
106,361713.0,20.0,6.0,2.0,2.0,1.0,10.0,1.0,10753.0,984563.0,18171.0,106,6,employer,yes,normal,2,3,condominium,Johor,Accept,8,26.0
107,668010.0,13.0,6.0,2.0,2.0,1.0,10.0,2.0,7132.0,1302913.0,11513.0,107,6,employer,no,gold,2,2,condominium,Johor,Accept,6,19.0
108,115453.0,12.0,6.0,2.0,2.0,2.0,10.0,2.0,9685.0,1152455.0,13194.0,108,6,employer,yes,gold,2,3,condominium,Johor,Reject,8,18.0
109,419353.0,22.0,6.0,2.0,2.0,1.0,10.0,2.0,10663.0,1202187.0,11512.0,109,6,employer,no,gold,2,1,condominium,Johor,Accept,9,28.0
110,436751.0,10.0,6.0,2.0,2.0,1.0,10.0,2.0,4466.0,795767.0,11513.0,110,6,employer,yes,normal,2,3,condominium,Johor,Accept,9,16.0
111,260873.0,15.0,6.0,2.0,2.0,1.0,10.0,2.0,8145.0,432222.0,8619.0,111,6,employer,no,normal,2,2,condominium,Johor,Accept,7,21.0
112,469773.0,17.0,10.0,2.0,2.0,1.0,10.0,1.0,6438.0,1014152.0,17727.0,112,6,employer,yes,normal,2,1,condominium,Johor,Reject,8,27.0
113,418570.0,17.0,6.0,4.0,2.0,1.0,11.0,1.0,8955.0,430165.0,13049.0,113,6,employer,no,platinum,2,3,condominium,Johor,Accept,9,23.0
114,741127.0,12.0,6.0,3.0,2.0,1.0,10.0,1.0,7573.0,909932.0,17632.0,114,6,employer,yes,gold,2,2,condominium,Johor,Accept,7,18.0
115,143740.0,20.0,6.0,4.0,2.0,1.0,10.0,3.0,9350.0,989198.0,13049.0,115,6,employer,no,normal,2,2,condominium,Johor,Accept,6,26.0
116,423875.0,18.0,6.0,2.0,2.0,1.0,10.0,2.0,12012.0,877950.0,11217.0,116,6,employer,yes,normal,2,1,condominium,Johor,Reject,8,24.0
117,584865.0,14.0,6.0,4.0,2.0,2.0,10.0,2.0,7084.0,1049055.0,17446.0,117,6,employer,no,gold,2,1,condominium,Johor,Accept,9,20.0
118,594021.0,16.0,17.0,2.0,2.0,1.0,10.0,1.0,3886.0,1072056.0,11229.0,118,6,employer,yes,normal,2,1,condominium,Johor,Reject,8,33.0
119,451808.0,15.0,6.0,2.0,2.0,1.0,10.0,1.0,6062.0,462999.0,16142.0,119,6,employer,no,normal,2,3,condominium,Johor,Accept,7,21.0
120,784252.0,10.0,16.0,4.0,2.0,1.0,10.0,1.0,7145.0,593755.0,14411.0,120,6,employer,yes,normal,2,3,condominium,Johor,Accept,7,26.0
121,320031.0,22.0,12.0,4.0,2.0,1.0,10.0,2.0,9600.0,1304388.0,12095.0,121,6,employer,no,normal,2,3,condominium,Johor,Accept,9,34.0
122,586171.0,20.0,6.0,2.0,2.0,1.0,11.0,3.0,8167.0,986044.0,11267.0,122,6,employer,yes,normal,2,2,condominium,Johor,Accept,8,26.0
123,426166.0,18.0,15.0,2.0,2.0,1.0,10.0,1.0,4460.0,527257.0,14105.0,123,6,employer,no,normal,2,2,condominium,Johor,Accept,9,33.0
124,527883.0,22.0,6.0,2.0,2.0,1.0,10.0,2.0,12483.0,911219.0,11297.0,124,6,employer,yes,normal,2,3,condominium,Johor,Accept,6,28.0
125,270671.0,16.0,6.0,2.0,2.0,1.0,12.0,2.0,9045.0,758809.0,19771.0,125,6,employer,no,normal,2,1,condominium,Johor,Reject,7,22.0
126,269188.0,20.0,6.0,2.0,2.0,1.0,10.0,1.0,8530.0,602708.0,12392.0,126,6,employer,yes,normal,2,1,condominium,Johor,Accept,7,26.0
127,423875.0,17.0,6.0,2.0,2.0,1.0,10.0,2.0,3761.0,901079.0,14864.0,127,6,employer,no,platinum,2,2,condominium,Johor,Reject,8,23.0
128,105577.0,20.0,14.0,2.0,2.0,1.0,10.0,1.0,6671.0,1338424.0,13312.0,128,6,employer,yes,gold,2,1,condominium,Johor,Accept,9,34.0
129,787954.0,14.0,6.0,2.0,2.0,1.0,10.0,2.0,4649.0,1158899.0,11513.0,129,6,employer,no,gold,2,3,condominium,Johor,Accept,6,20.0
130,462446.0,17.0,6.0,4.0,2.0,1.0,10.0,3.0,12169.0,924297.0,13049.0,130,6,employer,yes,normal,2,1,condominium,Johor,Accept,7,23.0
131,477993.0,23.0,6.0,2.0,2.0,1.0,10.0,3.0,3912.0,605985.0,9906.0,131,6,employer,no,normal,2,1,condominium,Johor,Reject,8,29.0
132,489336.0,17.0,6.0,2.0,2.0,1.0,10.0,1.0,6064.0,1337201.0,10205.0,132,6,employer,yes,normal,2,2,condominium,Johor,Accept,7,23.0
133,513874.0,20.0,6.0,4.0,2.0,1.0,10.0,3.0,4144.0,1073726.0,13200.0,133,6,employer,no,platinum,2,2,condominium,Johor,Accept,7,26.0
134,656453.0,17.0,6.0,2.0,2.0,1.0,10.0,2.0,9324.0,1118447.0,11118.0,134,6,employer,yes,normal,2,3,condominium,Johor,Accept,8,23.0
135,609577.0,16.0,17.0,2.0,2.0,1.0,10.0,2.0,9671.0,677064.0,11229.0,135,6,employer,no,normal,2,2,condominium,Johor,Accept,7,33.0
136,386539.0,15.0,12.0,2.0,2.0,1.0,11.0,3.0,8981.0,1319239.0,9775.0,136,6,employer,yes,normal,2,3,condominium,Johor,Accept,8,27.0
137,137642.0,16.0,6.0,2.0,2.0,2.0,10.0,1.0,4940.0,842850.0,12586.0,137,6,employer,no,platinum,2,3,condominium,Johor,Reject,6,22.0
138,183586.0,17.0,6.0,2.0,2.0,1.0,10.0,2.0,8191.0,1427018.0,13049.0,138,6,employer,yes,normal,2,3,condominium,Johor,Reject,7,23.0
139,527945.0,18.0,6.0,2.0,2.0,1.0,11.0,3.0,6345.0,1391346.0,13049.0,139,6,employer,no,normal,2,1,condominium,Johor,Accept,9,24.0
140,676083.0,23.0,6.0,4.0,2.0,2.0,10.0,3.0,8945.0,438094.0,8358.0,140,6,employer,yes,platinum,2,3,condominium,Johor,Accept,8,29.0
141,401931.0,20.0,6.0,2.0,2.0,1.0,10.0,1.0,8214.0,472127.0,8037.0,141,6,employer,no,gold,2,2,condominium,Johor,Accept,9,26.0
142,538796.0,23.0,6.0,3.0,2.0,1.0,10.0,1.0,4938.0,934288.0,19728.0,142,6,employer,yes,gold,2,2,condominium,Johor,Accept,8,29.0
143,693005.0,22.0,6.0,2.0,2.0,1.0,11.0,3.0,3699.0,623478.0,11439.0,143,6,employer,no,normal,2,2,condominium,Johor,Accept,9,28.0
144,423875.0,12.0,6.0,2.0,2.0,1.0,10.0,3.0,4008.0,552448.0,16984.0,144,6,employer,yes,normal,2,3,condominium,Johor,Accept,8,18.0
145,740785.0,12.0,6.0,2.0,2.0,1.0,10.0,3.0,8222.0,842418.0,7731.0,145,6,employer,no,gold,2,1,condominium,Johor,Accept,8,18.0
146,557554.0,15.0,6.0,3.0,2.0,1.0,11.0,2.0,8932.0,646904.0,9306.0,146,6,employer,yes,normal,2,1,condominium,Johor,Accept,6,21.0
147,242183.0,23.0,12.0,2.0,2.0,1.0,10.0,3.0,8935.0,1307524.0,12481.0,147,6,employer,no,normal,2,1,condominium,Johor,Accept,8,35.0
148,173436.0,22.0,6.0,2.0,2.0,1.0,10.0,1.0,12246.0,1214167.0,11917.0,148,6,employer,yes,normal,2,3,condominium,Johor,Accept,7,28.0
149,237187.0,17.0,6.0,2.0,2.0,1.0,10.0,2.0,6858.0,1172482.0,8439.0,149,6,employer,no,gold,2,2,condominium,Johor,Accept,8,23.0
150,331828.0,12.0,14.0,2.0,2.0,3.0,10.0,1.0,9975.0,873957.0,13252.0,150,6,employer,yes,normal,2,1,condominium,Johor,Accept,8,26.0
151,631113.0,14.0,6.0,2.0,2.0,1.0,10.0,2.0,6134.0,849370.0,7725.0,151,6,employer,no,gold,2,1,condominium,Johor,Reject,6,20.0
152,151474.0,22.0,12.0,2.0,2.0,1.0,10.0,1.0,8935.0,753494.0,9126.0,152,6,employer,yes,normal,2,3,condominium,Johor,Reject,7,34.0
153,635895.0,13.0,6.0,2.0,2.0,1.0,10.0,2.0,9895.0,1334964.0,14696.0,153,6,employer,no,platinum,2,2,condominium,Johor,Accept,7,19.0
154,531413.0,21.0,6.0,2.0,2.0,1.0,10.0,3.0,10954.0,923249.0,12630.0,154,6,employer,yes,gold,2,2,condominium,Johor,Accept,8,27.0
155,470957.0,22.0,6.0,2.0,2.0,1.0,10.0,3.0,12191.0,1046635.0,10864.0,155,6,employer,no,normal,2,2,condominium,Johor,Reject,7,28.0
156,529157.0,19.0,6.0,2.0,2.0,1.0,10.0,1.0,5530.0,1146292.0,16147.0,156,6,employer,yes,normal,2,3,condominium,Johor,Accept,6,25.0
157,593441.0,11.0,6.0,2.0,2.0,1.0,10.0,2.0,8482.0,1397221.0,17395.0,157,6,employer,no,normal,2,1,condominium,Johor,Reject,7,17.0
158,202336.0,22.0,12.0,4.0,2.0,1.0,10.0,2.0,8073.0,859039.0,14966.0,158,6,employer,yes,normal,2,2,condominium,Johor,Accept,9,34.0
