,Unnamed: 0,Loan_Amount,Loan_Tenure_Year,Years_to_Financial_Freedom,Number_of_Credit_Card_Facility,Number_of_Properties,Number_of_Bank_Products,Years_for_Property_to_Completion,Number_of_Side_Income,Monthly_Salary,Total_Sum_of_Loan,Total_Income_for_Join_Application,Unnamed: 0.1,Credit_Card_Exceed_Months,Employment_Type,More_Than_One_Products,Credit_Card_types,Number_of_Dependents,Number_of_Loan_to_Approve,Property_Type,State,Score,Total_Duration,Decision
52,52,0,10,9,0,0,0,0,1,0,0,0,52,0,3,1,1,0,0,1,0,1,856,0
53,53,0,12,0,0,0,0,0,2,0,1,0,53,0,3,0,1,0,1,1,0,0,261,0
54,54,2,1,0,0,0,0,0,2,0,1,2,54,0,3,1,1,0,1,1,0,3,1,0
55,55,1,8,10,0,0,0,0,1,0,1,0,55,0,3,0,1,0,1,1,0,3,766,1
56,56,0,13,0,0,0,0,0,2,1,1,1,56,0,3,1,1,0,0,1,0,0,320,0
57,57,0,11,0,1,0,0,0,0,0,1,0,57,0,3,0,1,0,2,1,0,2,202,0
58,58,2,9,0,0,0,0,0,0,0,1,0,58,0,3,1,1,0,2,1,0,3,107,0
59,59,1,13,0,0,0,0,0,0,2,2,0,59,0,3,0,0,0,1,1,0,3,320,1
60,60,0,14,0,0,0,0,0,0,0,1,0,60,0,3,1,1,0,1,1,0,1,419,0
61,61,0,11,0,0,0,0,0,1,0,2,0,61,0,3,0,0,0,2,1,0,0,202,0
62,62,2,10,8,0,0,0,0,0,2,0,0,62,0,3,1,1,0,0,1,0,1,766,1
63,63,2,9,10,0,0,1,0,1,0,2,0,63,0,3,0,0,0,1,1,0,2,856,1
64,64,2,6,0,0,0,0,0,0,2,2,1,64,0,3,1,1,0,2,1,0,3,43,0
65,65,2,5,0,0,0,0,0,1,0,0,1,65,0,3,0,1,0,2,1,0,0,30,0
66,66,1,3,10,0,0,0,2,1,1,0,0,66,0,3,1,1,0,1,1,0,1,320,0
67,67,1,14,0,2,0,0,0,1,1,0,0,67,0,3,0,1,0,0,1,0,3,419,0
68,68,1,12,0,0,0,1,0,0,2,0,0,68,0,3,1,0,0,1,1,0,3,261,1
69,69,2,12,7,2,0,0,0,1,1,0,0,69,0,3,0,1,0,2,1,0,3,856,1
70,70,2,11,5,0,0,0,0,1,0,1,1,70,0,3,1,1,0,0,1,0,1,580,0
71,71,0,1,0,0,0,0,0,1,2,0,1,71,0,3,0,2,0,2,1,0,1,1,0
72,72,0,3,0,0,0,0,0,1,0,0,0,72,0,3,1,0,0,0,1,0,2,10,0
73,73,0,1,0,2,0,0,0,1,0,1,0,73,0,3,0,1,0,1,1,0,1,1,0
74,74,0,6,0,0,0,0,0,0,2,2,0,74,0,3,1,0,0,2,1,0,3,43,0
75,75,0,5,10,1,0,0,0,1,1,1,2,75,0,3,0,0,0,1,1,0,2,506,0
76,76,1,10,10,0,0,2,0,0,2,1,0,76,0,3,1,0,0,2,1,0,2,922,1
77,77,1,8,0,2,0,1,0,1,2,1,1,77,0,3,0,1,0,1,1,0,1,85,0
78,78,2,8,10,1,0,1,0,2,2,0,1,78,0,3,1,0,0,0,1,0,2,766,0
79,79,0,1,0,2,0,0,0,1,0,2,2,79,0,3,0,1,0,1,1,0,0,1,0
80,80,1,14,0,0,0,1,0,0,2,2,1,80,0,3,1,1,0,0,1,0,3,419,0
81,81,2,13,0,2,0,0,0,0,0,0,0,81,0,3,0,0,0,1,1,0,3,320,0
82,82,0,11,0,0,0,0,0,0,1,0,2,82,0,3,1,1,0,2,1,0,3,202,0
83,83,0,6,3,0,0,0,0,1,0,1,2,83,0,3,0,2,0,1,1,0,1,107,0
84,84,0,10,0,0,0,0,0,2,0,2,1,84,0,3,1,0,0,2,1,0,1,145,0
85,85,2,9,0,0,0,0,0,2,0,0,0,85,0,3,0,1,0,1,1,0,1,107,0
86,86,1,7,0,0,0,0,0,1,2,2,0,86,0,3,1,1,0,1,1,0,0,62,0
87,87,2,0,9,0,0,1,0,1,0,1,2,87,0,3,0,1,0,1,1,0,0,107,0
88,88,0,0,0,0,0,1,0,2,0,1,2,88,0,3,1,0,0,0,1,0,3,0,0
89,89,2,5,8,2,0,0,0,0,0,2,0,89,0,3,0,1,0,2,1,0,0,320,1
90,90,0,6,0,2,0,2,0,2,0,1,0,90,0,3,1,1,0,1,1,0,0,43,0
91,91,0,6,11,0,0,0,0,2,0,1,0,91,0,3,0,1,0,1,1,0,2,676,0
92,92,1,6,0,0,0,0,0,2,0,2,0,92,0,3,1,1,0,1,1,0,3,43,1
93,93,2,6,8,2,0,0,0,0,0,2,0,93,0,3,0,0,0,1,1,0,2,419,0
94,94,0,8,10,1,0,0,0,0,2,0,1,94,0,3,1,0,0,1,1,0,0,766,1
95,95,0,5,0,0,0,0,0,1,0,1,1,95,0,3,0,1,0,1,1,0,1,30,1
96,96,1,7,0,0,0,1,1,1,1,2,2,96,0,3,1,1,0,2,1,0,0,62,1
97,97,2,12,0,0,0,0,0,1,1,0,0,97,0,3,0,1,0,0,1,0,3,261,1
98,98,0,5,0,0,0,0,0,1,1,2,2,98,0,3,1,0,0,1,1,0,1,30,1
99,99,0,9,6,0,0,0,0,2,1,2,2,99,0,3,0,1,0,2,1,0,3,506,0
100,100,1,8,1,0,0,0,0,1,0,1,2,100,5,3,1,0,0,2,1,0,3,107,0
101,101,1,7,1,0,0,0,0,0,0,0,1,101,5,3,0,1,0,0,1,0,2,85,0
102,102,0,1,9,0,1,0,0,1,1,2,2,102,5,3,1,0,0,2,1,0,2,145,0
103,103,0,8,1,0,0,0,1,2,2,2,0,103,5,3,0,0,0,2,1,0,2,107,0
104,104,1,3,1,0,0,0,2,1,0,1,1,104,5,3,1,1,0,2,1,0,2,15,0
105,105,0,12,1,0,0,0,0,2,0,2,0,105,5,3,0,1,0,1,1,0,1,320,1
106,106,0,10,1,0,0,0,0,0,1,0,1,106,5,3,1,1,0,2,1,0,2,202,0
107,107,1,3,1,0,0,0,0,1,0,1,2,107,5,3,0,0,0,1,1,0,0,15,0
108,108,2,2,1,0,0,1,0,1,1,1,0,108,5,3,1,0,0,2,1,0,2,10,1
109,109,0,12,1,0,0,0,0,1,1,1,2,109,5,3,0,0,0,0,1,0,3,320,0
110,110,0,0,1,0,0,0,0,1,2,0,2,110,5,3,1,1,0,2,1,0,3,1,0
111,111,2,5,1,0,0,0,0,1,0,2,2,111,5,3,0,1,0,1,1,0,1,43,0
112,112,0,7,5,0,0,0,0,0,2,0,1,112,5,3,1,1,0,0,1,0,2,261,1
113,113,0,7,1,2,0,0,1,0,0,2,0,113,5,3,0,2,0,2,1,0,3,85,0
114,114,1,2,1,1,0,0,0,0,0,0,1,114,5,3,1,0,0,1,1,0,1,10,0
115,115,2,10,1,2,0,0,0,2,0,0,0,115,5,3,0,1,0,1,1,0,0,202,0
116,116,0,8,1,0,0,0,0,1,1,0,2,116,5,3,1,1,0,0,1,0,2,107,1
117,117,1,4,1,2,0,1,0,1,0,0,1,117,5,3,0,0,0,0,1,0,3,30,0
118,118,1,6,12,0,0,0,0,0,2,0,2,118,5,3,1,1,0,0,1,0,2,766,1
119,119,0,5,1,0,0,0,0,0,2,2,1,119,5,3,0,1,0,2,1,0,1,43,0
120,120,1,0,11,2,0,0,0,0,0,2,0,120,5,3,1,1,0,2,1,0,1,202,0
121,121,2,12,7,2,0,0,0,1,1,1,0,121,5,3,0,1,0,2,1,0,3,856,0
122,122,1,10,1,0,0,0,1,2,0,0,2,122,5,3,1,1,0,1,1,0,2,202,0
123,123,0,8,10,0,0,0,0,0,2,2,0,123,5,3,0,1,0,1,1,0,3,766,0
124,124,0,12,1,0,0,0,0,1,1,0,2,124,5,3,1,1,0,2,1,0,0,320,0
125,125,2,6,1,0,0,0,2,1,0,2,1,125,5,3,0,1,0,0,1,0,1,62,1
126,126,2,10,1,0,0,0,0,0,0,2,0,126,5,3,1,1,0,0,1,0,1,202,0
127,127,0,7,1,0,0,0,0,1,2,0,0,127,5,3,0,2,0,1,1,0,2,85,1
128,128,2,10,9,0,0,0,0,0,0,1,0,128,5,3,1,0,0,0,1,0,3,856,0
129,129,1,4,1,0,0,0,0,1,2,1,2,129,5,3,0,0,0,2,1,0,0,30,0
130,130,0,7,1,2,0,0,0,2,1,0,0,130,5,3,1,1,0,0,1,0,1,85,0
131,131,0,13,1,0,0,0,0,2,2,2,2,131,5,3,0,1,0,0,1,0,2,419,1
132,132,0,7,1,0,0,0,0,0,2,1,2,132,5,3,1,1,0,1,1,0,1,85,0
133,133,0,10,1,2,0,0,0,2,2,0,0,133,5,3,0,2,0,1,1,0,1,202,0
134,134,1,7,1,0,0,0,0,1,0,1,2,134,5,3,1,1,0,2,1,0,2,85,0
135,135,1,6,12,0,0,0,0,1,1,2,2,135,5,3,0,1,0,1,1,0,1,766,0
136,136,0,5,7,0,0,0,1,2,0,1,2,136,5,3,1,1,0,2,1,0,2,261,0
137,137,2,6,1,0,0,1,0,0,2,0,0,137,5,3,0,2,0,2,1,0,0,62,1
138,138,2,7,1,0,0,0,0,1,0,1,0,138,5,3,1,1,0,2,1,0,1,85,1
139,139,0,8,1,0,0,0,1,2,2,1,0,139,5,3,0,1,0,0,1,0,3,107,0
140,140,1,13,1,2,0,1,0,2,0,2,2,140,5,3,1,2,0,2,1,0,2,419,0
141,141,0,10,1,0,0,0,0,0,0,2,2,141,5,3,0,0,0,1,1,0,3,202,0
142,142,0,13,1,1,0,0,0,0,2,0,1,142,5,3,1,0,0,1,1,0,2,419,0
143,143,1,12,1,0,0,0,1,2,2,2,2,143,5,3,0,1,0,1,1,0,3,320,0
144,144,0,2,1,0,0,0,0,2,2,2,1,144,5,3,1,1,0,2,1,0,2,10,0
145,145,1,2,1,0,0,0,0,2,0,0,2,145,5,3,0,0,0,0,1,0,2,10,0
146,146,0,5,1,1,0,0,1,1,0,2,2,146,5,3,1,1,0,0,1,0,0,43,0
147,147,2,13,7,0,0,0,0,2,0,1,0,147,5,3,0,1,0,0,1,0,2,922,0
148,148,2,12,1,0,0,0,0,0,1,1,0,148,5,3,1,1,0,2,1,0,1,320,0
149,149,2,7,1,0,0,0,0,1,0,1,2,149,5,3,0,0,0,1,1,0,2,85,0
150,150,2,2,9,0,0,2,0,0,1,0,0,150,5,3,1,1,0,0,1,0,2,202,0
151,151,1,4,1,0,0,0,0,1,2,0,2,151,5,3,0,0,0,0,1,0,0,30,1
152,152,2,12,7,0,0,0,0,0,0,2,2,152,5,3,1,1,0,2,1,0,1,856,1
153,153,1,3,1,0,0,0,0,1,1,1,0,153,5,3,0,2,0,1,1,0,1,15,0
154,154,0,11,1,0,0,0,0,2,1,0,0,154,5,3,1,0,0,1,1,0,2,261,0
155,155,0,12,1,0,0,0,0,2,1,0,2,155,5,3,0,1,0,1,1,0,1,320,1
156,156,0,9,1,0,0,0,0,0,2,1,1,156,5,3,1,1,0,2,1,0,0,145,0
157,157,1,1,1,0,0,0,0,1,0,1,1,157,5,3,0,1,0,0,1,0,1,4,1
158,158,2,12,7,2,0,0,0,1,0,0,0,158,5,3,1,1,0,1,1,0,3,856,0
159,159,0,8,10,1,0,0,0,1,0,2,2,159,5,3,0,2,0,0,1,0,1,766,0
160,160,2,6,1,0,0,0,0,0,2,2,1,160,5,3,1,0,0,1,1,0,2,62,0
161,161,2,7,1,2,0,0,0,1,1,0,0,161,5,3,0,1,0,2,1,0,2,85,0
162,162,2,12,1,0,0,0,0,0,0,0,1,162,5,3,1,1,0,1,1,0,1,320,0
163,163,0,11,11,0,1,1,0,2,0,1,0,163,5,3,0,0,0,2,1,0,1,1014,0
164,164,2,10,1,0,0,0,1,2,0,0,1,164,5,3,1,0,0,1,1,0,3,202,0
165,165,2,12,1,0,0,1,0,0,1,2,0,165,5,3,0,0,0,1,1,0,3,320,0
166,166,2,8,1,0,0,0,0,2,0,1,0,166,5,3,1,1,0,1,1,0,3,107,0
167,167,1,10,9,0,0,0,2,1,2,0,0,167,5,3,0,1,0,1,1,0,1,856,0
168,168,0,8,1,0,0,0,0,1,0,1,0,168,5,3,1,1,0,2,1,0,2,107,0
169,169,0,12,1,0,0,0,0,1,1,2,1,169,5,3,0,1,0,1,1,0,3,320,0
170,170,1,10,1,0,0,1,0,0,2,1,1,170,5,3,1,1,0,1,1,0,3,202,0
171,171,1,3,1,0,0,0,0,0,2,0,2,171,5,3,0,1,0,1,1,0,1,15,0
172,172,0,2,10,0,0,1,0,1,1,2,0,172,5,3,1,0,0,2,1,0,0,261,0
173,173,2,7,1,0,0,1,0,1,0,2,0,173,5,3,0,1,0,1,1,0,2,85,0
174,174,2,13,1,2,0,0,0,0,1,0,2,174,5,3,1,1,0,2,1,0,2,419,0
175,175,2,3,1,1,0,0,0,1,1,0,2,175,5,3,0,1,0,2,1,0,1,15,0
176,176,2,10,1,0,0,0,0,2,2,1,2,176,5,3,1,1,0,0,1,0,1,202,0
177,177,1,0,11,2,0,0,0,0,0,1,0,177,5,3,0,1,0,2,1,0,2,202,1
178,178,2,13,1,0,0,0,0,0,0,2,0,178,5,3,1,1,0,2,1,0,3,419,0
179,179,1,10,1,0,0,0,0,0,1,1,2,179,5,3,0,1,0,2,1,0,1,202,0
180,180,2,12,1,0,0,0,1,0,1,1,0,180,5,3,1,2,0,1,1,0,0,320,0
181,181,1,12,1,0,0,0,0,0,1,0,2,181,5,3,0,1,0,0,1,0,0,320,0
182,182,2,7,2,4,0,0,0,2,0,0,0,182,5,3,1,1,0,0,1,0,2,107,0
183,183,2,4,1,0,0,0,0,1,0,1,2,183,5,3,0,0,0,0,1,0,3,30,0
184,184,0,13,1,0,0,0,0,1,0,0,0,184,5,3,1,0,0,1,1,0,3,419,0
185,185,1,7,1,0,0,1,0,0,2,2,0,185,5,3,0,2,0,0,1,0,3,85,1
186,186,2,10,1,0,0,1,0,0,1,1,1,186,5,3,1,1,0,0,1,0,2,202,0
187,187,0,1,1,0,0,0,0,0,0,1,0,187,5,3,0,1,0,2,1,0,0,4,0
188,188,1,9,4,0,0,0,0,1,0,2,2,188,5,3,1,1,0,1,1,0,0,320,0
189,189,2,5,1,2,0,0,0,1,0,2,2,189,5,3,0,1,0,1,1,0,2,43,1
190,190,2,14,9,2,1,0,2,1,1,2,0,190,5,3,1,1,0,2,1,0,0,1058,0
191,191,0,11,0,0,0,0,0,1,0,0,0,191,5,3,0,1,0,1,1,0,0,202,0
192,192,1,7,1,2,0,1,0,0,2,1,0,192,5,3,1,0,0,0,1,0,3,85,0
193,193,0,1,1,0,0,0,0,1,0,1,1,193,5,3,0,1,0,2,1,0,3,4,0
194,194,0,7,1,0,0,0,0,1,2,2,2,194,5,3,1,1,0,0,1,0,3,85,1
195,195,2,10,1,0,0,0,1,2,0,0,1,195,5,3,0,1,0,1,1,0,3,202,0
196,196,0,5,1,1,0,0,0,0,2,2,1,196,5,3,1,2,0,2,1,0,2,43,0
197,197,1,8,1,2,0,0,0,0,1,0,0,197,5,3,0,2,0,0,1,0,2,107,0
198,198,1,10,1,0,0,1,1,2,2,2,1,198,5,3,1,0,0,2,1,0,2,202,0
199,199,2,1,1,0,0,0,0,1,2,1,2,199,5,3,0,1,0,1,1,0,3,4,0
200,200,0,1,10,4,0,1,1,0,1,1,0,200,1,1,1,1,0,1,1,0,1,202,1
201,201,2,6,2,2,0,1,1,1,2,0,0,201,1,1,0,1,0,0,1,0,3,85,0
202,202,0,11,2,2,0,0,1,2,1,2,1,202,1,1,1,1,0,2,1,0,2,320,0
203,203,0,2,2,2,0,0,1,1,2,0,2,203,1,1,0,2,0,1,1,0,0,15,0
204,204,1,10,2,2,0,1,1,2,0,0,2,204,1,1,1,1,0,2,1,0,1,261,0
205,205,0,6,10,1,0,1,1,1,1,2,0,205,1,1,0,0,0,0,1,0,2,580,0
206,206,0,5,8,4,0,1,1,0,2,1,0,206,1,1,1,0,0,1,1,0,0,320,0
207,207,2,14,2,4,0,0,1,1,1,2,2,207,1,1,0,0,0,0,1,0,3,580,0
208,208,1,8,7,2,0,1,1,0,0,2,1,208,1,1,1,1,0,2,1,0,3,506,0
209,209,1,10,2,3,0,2,1,2,0,1,0,209,1,1,0,1,0,0,1,0,0,261,0
210,210,0,13,3,1,0,0,1,1,0,1,1,210,1,1,1,0,0,1,1,0,1,580,0
211,211,1,10,2,2,0,1,1,0,2,2,0,211,1,1,0,1,0,1,1,0,1,261,0
212,212,2,2,9,4,0,0,1,0,2,2,1,212,1,1,1,2,0,0,1,0,0,202,0
213,213,2,4,2,4,0,1,1,0,1,0,2,213,1,1,0,1,0,0,1,0,2,43,0
214,214,2,1,2,4,0,1,1,0,0,1,2,214,1,1,1,2,0,0,1,0,1,10,0
215,215,2,6,10,2,0,1,1,2,2,1,0,215,1,1,0,2,0,0,1,0,0,580,0
216,216,1,14,2,2,0,1,1,0,0,0,0,216,1,1,1,0,0,1,1,0,1,580,0
217,217,1,10,2,4,0,1,1,0,0,0,2,217,1,1,0,1,0,2,1,0,3,261,0
218,218,1,11,2,4,0,0,1,0,0,2,0,218,1,1,1,2,0,2,1,0,1,320,0
219,219,0,13,2,4,0,1,1,0,0,1,0,219,1,1,0,0,0,1,1,0,1,506,1
220,220,0,7,2,1,0,1,1,0,0,0,2,220,1,1,1,0,0,1,1,0,3,107,1
221,221,0,6,7,4,0,1,1,0,0,0,1,221,1,1,0,1,0,0,1,0,2,320,1
222,222,1,11,2,4,0,1,1,0,0,1,1,222,1,1,1,1,0,0,1,0,3,320,0
223,223,1,2,2,4,0,1,1,1,0,2,1,223,1,1,0,0,0,1,1,0,3,15,0
224,224,0,7,2,4,0,1,1,1,0,1,2,224,1,1,1,1,0,0,1,0,2,107,0
225,225,2,12,2,2,0,0,1,1,1,2,1,225,1,1,0,2,0,1,1,0,1,419,0
226,226,2,12,2,2,0,1,1,2,0,2,0,226,1,1,1,1,0,2,1,0,2,419,1
227,227,0,12,4,4,0,0,1,1,0,2,1,227,1,1,0,1,0,0,1,0,1,580,1
228,228,1,10,2,4,0,1,1,0,0,2,0,228,1,1,1,0,0,2,1,0,3,261,0
229,229,0,10,2,4,0,1,0,1,0,0,1,229,1,1,0,1,0,0,1,0,2,261,0
230,230,1,5,2,2,0,1,1,2,0,2,1,230,1,1,1,1,0,1,1,0,3,62,0
231,231,0,8,2,4,0,1,1,2,1,2,2,231,1,1,0,1,0,0,1,0,2,145,1
232,232,1,5,2,4,0,0,1,1,0,1,0,232,1,1,1,1,0,1,1,0,0,62,0
233,233,2,14,2,4,0,1,1,0,1,0,0,233,1,1,0,1,0,1,1,0,0,580,1
234,234,1,10,2,4,0,1,1,2,0,2,1,234,1,1,1,1,0,2,1,0,3,261,0
235,235,2,2,5,4,0,1,1,1,2,1,0,235,1,1,0,1,0,0,1,0,3,62,0
236,236,1,14,2,2,0,1,1,2,1,0,0,236,1,1,1,1,0,2,1,0,0,580,0
237,237,0,11,2,4,0,1,0,1,0,1,0,237,1,1,0,1,0,1,1,0,2,320,0
238,238,2,13,2,1,0,1,0,2,1,0,2,238,1,1,1,1,0,0,1,0,0,506,0
239,239,0,12,2,4,0,1,1,2,0,0,2,239,1,1,0,0,0,2,1,0,3,419,1
240,240,1,6,2,4,0,1,1,0,1,2,0,240,1,1,1,1,0,1,1,0,1,85,0
241,241,2,10,2,4,0,1,1,0,2,1,1,241,1,1,0,0,0,2,1,0,2,261,1
242,242,2,0,2,4,0,1,1,0,1,2,1,242,1,1,1,1,0,0,1,0,0,4,0
243,243,1,7,2,4,0,1,1,0,2,0,0,243,1,1,0,1,0,2,1,0,0,107,0
244,244,1,0,10,1,0,1,1,0,0,1,2,244,1,1,1,1,0,0,1,0,0,145,0
245,245,1,0,2,4,0,1,0,1,1,0,2,245,1,1,0,1,0,2,1,0,3,4,0
246,246,2,13,12,4,0,1,1,0,1,0,0,246,1,1,1,1,0,1,1,0,2,1094,0
247,247,0,7,2,4,0,1,1,2,1,0,2,247,1,1,0,1,0,0,1,0,2,107,1
248,248,2,2,2,1,0,1,1,0,2,0,2,248,1,1,1,0,0,1,1,0,1,15,1
249,249,1,12,2,4,0,1,1,0,1,0,1,249,1,1,0,1,0,2,1,0,2,419,0
250,250,2,9,2,4,0,1,1,2,1,1,2,250,1,1,1,2,0,0,1,0,2,202,0
251,251,0,1,2,4,0,1,0,1,2,2,1,251,1,1,0,0,0,2,1,0,2,10,0
252,252,0,0,9,2,0,1,1,0,2,2,2,252,1,1,1,1,0,1,1,0,1,107,0
253,253,0,7,2,4,0,1,1,1,0,0,2,253,1,1,0,1,0,2,1,0,2,107,0
254,254,1,14,2,2,0,1,1,0,0,1,1,254,1,1,1,0,0,1,1,0,0,580,0
255,255,0,14,10,4,0,1,1,1,2,2,0,255,1,1,0,2,0,2,1,0,1,1083,0
256,256,0,6,2,4,0,1,1,0,2,1,0,256,1,1,1,1,0,0,1,0,3,85,0
257,257,2,7,10,4,0,1,1,0,1,0,1,257,1,1,0,1,0,1,1,0,3,676,0
258,258,2,13,5,4,0,1,1,1,1,0,1,258,1,1,1,0,0,2,1,0,2,766,1
259,259,1,5,2,4,0,1,1,0,1,0,2,259,1,1,0,0,0,0,1,0,3,62,0
260,260,0,2,2,4,0,1,1,2,2,2,2,260,1,1,1,1,0,1,1,0,3,15,0
261,261,0,12,10,2,0,1,1,0,1,0,0,261,1,1,0,1,0,2,1,0,2,1014,0
262,262,0,12,2,4,0,2,0,1,1,0,0,262,1,1,1,1,0,1,1,0,1,419,0
263,263,0,8,2,4,0,0,1,2,1,0,0,263,1,1,0,0,0,0,1,0,1,145,0
264,264,1,1,2,1,0,1,1,0,1,2,2,264,1,1,1,0,0,2,1,0,2,10,1
265,265,0,8,2,2,0,1,1,1,1,2,0,265,1,1,0,1,0,0,1,0,0,145,0
266,266,0,9,2,4,0,1,1,2,0,0,2,266,1,1,1,1,0,2,1,0,0,202,0
267,267,0,7,2,4,1,1,1,1,0,0,0,267,1,1,0,2,0,1,1,0,0,107,0
268,268,1,7,2,4,0,0,1,1,0,0,1,268,1,1,1,2,0,2,1,0,1,107,1
269,269,0,4,2,4,0,1,1,1,0,1,2,269,1,1,0,0,0,2,1,0,2,43,0
